date,datetime,narrow_bands,open,close,trend,call_strike,put_strike,call_p,put_p,c_dist_p,p_dist_p,final_signal,temp_signal,high,low,volume,wap,count,SMA5,SMA50,RSI,ATR,ATR_percent,ATR_up,ATR_down,MACD,MACDSignal,MACDHist,bb_up,bb_mid,bb_low,band_width,tech_signal,minutes_since_open,remaining_intervals,SellCall_profit,SellPut_profit,SellIronCondor_profit,day,day_high,day_low,day_high_remaining_2,day_low_remaining_2,new_day,day_group,day_high_remaining,day_low_remaining,date_num,x
20250128 18:15:00 Europe/Berlin,2025-01-28 18:15:00+01:00,True,6056.63,6058.33,UP,6105.0,6010.0,0.8433,0.8518,0.77,0.8,StrategyEnum.Hold,StrategyEnum.Hold,6059.74,6056.47,0,0,283,6053.15,,67.18,6.82,0.11263531287529144,6065.153818950517,6051.506181049483,8.491812733635015,8.840707319832493,-0.3488945861974777,6059.81,6046.45,6033.1,26.7,StrategyEnum.Hold,165,45,,,,33,6059.74,6056.47,6059.74,6056.47,False,0,6074.54,6053.3,2025-01-28 18:15,33
20250128 18:20:00 Europe/Berlin,2025-01-28 18:20:00+01:00,False,6058.63,6059.35,UP,6110.0,6010.0,0.8657,0.8594999999999999,0.84,0.81,StrategyEnum.Hold,StrategyEnum.Hold,6060.63,6056.76,0,0,294,6055.71,,67.82,6.61,0.10913434415611441,6065.9628318826235,6052.737168117377,8.654090400407767,8.803383935947547,-0.14929353553977975,6061.64,6047.21,6032.78,28.9,StrategyEnum.Hold,170,44,,,,34,6060.63,6056.76,6060.63,6056.76,False,0,6074.54,6053.3,2025-01-28 18:20,34
20250128 18:25:00 Europe/Berlin,2025-01-28 18:25:00+01:00,False,6059.36,6058.23,UP,6105.0,6010.0,0.8493,0.8568,0.77,0.8,StrategyEnum.Hold,StrategyEnum.Hold,6059.75,6057.15,0,0,295,6057.56,,66.31,6.33,0.1044232561963597,6064.556201033864,6051.903798966135,8.593264180353799,8.761359984828797,-0.16809580447499783,6062.99,6047.79,6032.58,30.4,StrategyEnum.Hold,175,43,,,,35,6059.75,6057.15,6059.75,6057.15,False,0,6074.54,6053.3,2025-01-28 18:25,35
20250128 18:30:00 Europe/Berlin,2025-01-28 18:30:00+01:00,False,6058.33,6059.89,UP,6105.0,6015.0,0.8434,0.8422000000000001,0.74,0.74,StrategyEnum.Hold,StrategyEnum.Hold,6060.26,6057.36,0,0,290,6058.45,,67.46,6.08,0.10035615149101235,6065.971472388589,6053.808527611412,8.580101025834665,8.725108193029971,-0.14500716719530615,6064.55,6048.53,6032.5,32.1,StrategyEnum.Hold,180,42,,,,36,6060.26,6057.36,6060.26,6057.36,False,0,6074.54,6053.3,2025-01-28 18:30,36
20250128 18:35:00 Europe/Berlin,2025-01-28 18:35:00+01:00,False,6059.33,6058.47,DOWN,6105.0,6010.0,0.8538,0.8637,0.77,0.8,StrategyEnum.Hold,StrategyEnum.Hold,6060.11,6056.31,0,0,297,6058.85,,65.4,5.92,0.0976898470260319,6064.388510075119,6052.551489924882,8.358732730689553,8.651833100561888,-0.29310036987233445,6065.45,6048.88,6032.31,33.1,StrategyEnum.Hold,185,41,,,,37,6060.11,6056.31,6060.11,6056.31,False,0,6074.54,6053.3,2025-01-28 18:35,37
20250128 18:40:00 Europe/Berlin,2025-01-28 18:40:00+01:00,False,6058.4,6056.01,DOWN,6100.0,6010.0,0.8434,0.8542,0.73,0.76,StrategyEnum.Hold,StrategyEnum.Hold,6058.46,6054.47,0,0,291,6058.39,,61.87,5.78,0.09546671226072995,6061.791473641181,6050.228526358819,7.893800502519298,8.50022658095337,-0.6064260784340725,6065.95,6049.12,6032.29,33.7,StrategyEnum.Hold,190,40,,,,38,6058.46,6054.47,6058.46,6054.47,False,0,6074.54,6053.3,2025-01-28 18:40,38
20250128 18:45:00 Europe/Berlin,2025-01-28 18:45:00+01:00,False,6056.05,6055.89,DOWN,6100.0,6010.0,0.8471,0.8566,0.73,0.76,StrategyEnum.Hold,StrategyEnum.Hold,6057.26,6053.3,0,0,285,6057.7,,61.7,5.65,0.09332019539814419,6061.541368381097,6050.238631618904,7.430006870732541,8.286182638909205,-0.856175768176664,6066.23,6049.24,6032.25,34.0,StrategyEnum.Hold,195,39,,,,39,6057.26,6053.3,6057.26,6053.3,False,0,6074.54,6053.3,2025-01-28 18:45,39
20250128 18:50:00 Europe/Berlin,2025-01-28 18:50:00+01:00,False,6055.74,6058.45,UP,6105.0,6015.0,0.8631,0.8465,0.77,0.72,StrategyEnum.Hold,StrategyEnum.Hold,6058.66,6055.0,0,0,294,6057.74,,64.03,5.51,0.09093295781011485,6063.959127782447,6052.940872217553,7.186179872942375,8.06618208571584,-0.8800022127734639,6067.08,6049.62,6032.17,34.9,StrategyEnum.Hold,200,38,,,,40,6058.66,6055.0,6058.66,6055.0,False,0,6074.54,6053.6,2025-01-28 18:50,40
20250128 18:55:00 Europe/Berlin,2025-01-28 18:55:00+01:00,False,6058.47,6059.35,UP,6105.0,6015.0,0.8616,0.8546,0.75,0.73,StrategyEnum.Hold,StrategyEnum.Hold,6061.11,6058.33,0,0,295,6057.63,,64.84,5.31,0.08770231268536521,6064.664190083701,6054.0358099162995,6.985048408885632,7.849955350349798,-0.8649069414641657,6068.13,6050.2,6032.27,35.9,StrategyEnum.Hold,205,37,,,,41,6061.11,6058.33,6061.11,6058.33,False,0,6074.54,6053.6,2025-01-28 18:55,41
20250128 19:00:00 Europe/Berlin,2025-01-28 19:00:00+01:00,False,6059.34,6063.18,UP,6105.0,6020.0,0.8436,0.8513,0.69,0.71,StrategyEnum.Hold,StrategyEnum.Hold,6063.26,6058.42,0,0,287,6058.58,,68.14,5.28,0.08708828310286605,6068.460319363437,6057.899680636564,7.053392151759908,7.69064271063182,-0.6372505588719113,6069.57,6051.31,6033.04,36.5,StrategyEnum.Hold,210,36,,,,42,6063.26,6058.42,6063.26,6058.42,False,0,6074.54,6053.6,2025-01-28 19:00,42
